"EventStampLocal","EventStampUtc","Worktree","Matched","Line"
"2026-07-29 14:21:20","2026-07-29 12:21:20","fix-wt-worktree-plans-symlink","^Watcher done \(","2026-07-29 14:21:20  fix-wt-worktree-plans-symlink  Watcher done (worktree + branch removed)."
"2026-07-29 21:00:52","2026-07-29 19:00:52","hotkey-shortcut-warnings","^Watcher started\.","2026-07-29 21:00:52  hotkey-shortcut-warnings  Watcher started. PID=12152 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\hotkey-shortcut-warnings Branch=feature/wt-hotkey-shortcut-warnings Timeout=300s"
"2026-07-29 21:01:01","2026-07-29 19:01:01","hotkey-shortcut-warnings","^Watcher done \(","2026-07-29 21:01:01  hotkey-shortcut-warnings  Watcher done (worktree + branch removed)."
"2026-07-29 21:01:04","2026-07-29 19:01:04","shortcut-warnings-stage2","^Watcher started\.","2026-07-29 21:01:04  shortcut-warnings-stage2  Watcher started. PID=32708 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\shortcut-warnings-stage2 Branch=feature/wt-hotkey-shortcut-warnings-stage2 Timeout=300s"
"2026-07-29 21:06:05","2026-07-29 19:06:05","shortcut-warnings-stage2","^Could not remove worktree because the folder is still locked:","2026-07-29 21:06:05  shortcut-warnings-stage2  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\shortcut-warnings-stage2"
"2026-07-29 21:06:05","2026-07-29 19:06:05","shortcut-warnings-stage2","^Watcher done \(","2026-07-29 21:06:05  shortcut-warnings-stage2  Watcher done (worktree preserved)."
"2026-07-29 21:08:36","2026-07-29 19:08:36","shortcut-warnings-stage2","^Watcher started\.","2026-07-29 21:08:36  shortcut-warnings-stage2  Watcher started. PID=26312 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\shortcut-warnings-stage2 Branch=feature/wt-hotkey-shortcut-warnings-stage2 Timeout=300s"
"2026-07-29 21:10:47","2026-07-29 19:10:47","fix-wt-verify-plans-link","^Watcher started\.","2026-07-29 21:10:47  fix-wt-verify-plans-link  Watcher started. PID=19520 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-verify-plans-link Branch=fix/wt-verify-plans-link Timeout=300s"
"2026-07-29 21:10:48","2026-07-29 19:10:48","shortcut-warnings-stage2","^Watcher started\.","2026-07-29 21:10:48  shortcut-warnings-stage2  Watcher started. PID=34608 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\shortcut-warnings-stage2 Branch=feature/wt-hotkey-shortcut-warnings-stage2 Timeout=300s"
"2026-07-29 21:10:49","2026-07-29 19:10:49","fix-wt-verify-plans-link","^Watcher done \(","2026-07-29 21:10:49  fix-wt-verify-plans-link  Watcher done (worktree + branch removed)."
"2026-07-29 21:11:04","2026-07-29 19:11:04","shortcut-warnings-stage2","^Worktree folder already gone \(removed elsewhere\)","2026-07-29 21:11:04  shortcut-warnings-stage2  Worktree folder already gone (removed elsewhere); proceeding to prune + branch cleanup."
"2026-07-29 21:11:04","2026-07-29 19:11:04","shortcut-warnings-stage2","^Watcher done \(","2026-07-29 21:11:04  shortcut-warnings-stage2  Watcher done (worktree + branch removed)."
"2026-07-29 21:11:10","2026-07-29 19:11:10","shortcut-warnings-stage2","^Git refused safe branch deletion","2026-07-29 21:11:10  shortcut-warnings-stage2  Git refused safe branch deletion, usually because the branch contains unmerged commits."
"2026-07-29 21:11:10","2026-07-29 19:11:10","shortcut-warnings-stage2","^Watcher done \(","2026-07-29 21:11:10  shortcut-warnings-stage2  Watcher done (worktree removed; branch preserved)."
"2026-07-30 10:38:59","2026-07-30 08:38:59","fix-wt-agent-git-guard-scope","^Watcher started\.","2026-07-30 10:38:59  fix-wt-agent-git-guard-scope  Watcher started. PID=36992 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-agent-git-guard-scope Branch=fix/wt-agent-git-guard-scope Timeout=300s"
"2026-07-30 10:41:48","2026-07-30 08:41:48","fix-wt-agent-git-guard-scope","^Watcher started\.","2026-07-30 10:41:48  fix-wt-agent-git-guard-scope  Watcher started. PID=36252 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-agent-git-guard-scope Branch=fix/wt-agent-git-guard-scope Timeout=120s"
"2026-07-30 10:43:49","2026-07-30 08:43:49","fix-wt-agent-git-guard-scope","^Could not remove worktree because the folder is still locked:","2026-07-30 10:43:49  fix-wt-agent-git-guard-scope  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-agent-git-guard-scope"
"2026-07-30 10:43:49","2026-07-30 08:43:49","fix-wt-agent-git-guard-scope","^Watcher done \(","2026-07-30 10:43:49  fix-wt-agent-git-guard-scope  Watcher done (worktree preserved)."
"2026-07-30 10:44:00","2026-07-30 08:44:00","fix-wt-agent-git-guard-scope","^Could not remove worktree because the folder is still locked:","2026-07-30 10:44:00  fix-wt-agent-git-guard-scope  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-agent-git-guard-scope"
"2026-07-30 10:44:00","2026-07-30 08:44:00","fix-wt-agent-git-guard-scope","^Watcher done \(","2026-07-30 10:44:00  fix-wt-agent-git-guard-scope  Watcher done (worktree preserved)."
"2026-07-30 13:21:50","2026-07-30 11:21:50","wt-shortcut-warning-polish","^Watcher started\.","2026-07-30 13:21:50  wt-shortcut-warning-polish  Watcher started. PID=26232 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-shortcut-warning-polish Branch=fix/wt-shortcut-warning-polish Timeout=300s"
"2026-07-30 13:26:51","2026-07-30 11:26:51","wt-shortcut-warning-polish","^Could not remove worktree because the folder is still locked:","2026-07-30 13:26:51  wt-shortcut-warning-polish  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-shortcut-warning-polish"
"2026-07-30 13:26:51","2026-07-30 11:26:51","wt-shortcut-warning-polish","^Watcher done \(","2026-07-30 13:26:51  wt-shortcut-warning-polish  Watcher done (worktree preserved)."
"2026-07-30 16:16:37","2026-07-30 14:16:37","wt-shortcut-warning-polish","^Watcher started\.","2026-07-30 16:16:37  wt-shortcut-warning-polish  Watcher started. PID=9236 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-shortcut-warning-polish Branch=fix/wt-shortcut-warning-polish Timeout=300s"
"2026-07-30 16:16:44","2026-07-30 14:16:44","wt-shortcut-warning-polish","^Watcher done \(","2026-07-30 16:16:44  wt-shortcut-warning-polish  Watcher done (worktree + branch removed)."
"2026-07-30 16:33:47","2026-07-30 14:33:47","fix-wt-blazor-boot-failure-surface","^Watcher started\.","2026-07-30 16:33:47  fix-wt-blazor-boot-failure-surface  Watcher started. PID=24096 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-blazor-boot-failure-surface Branch=fix/wt-blazor-boot-failure-surface Timeout=300s"
"2026-07-30 16:33:50","2026-07-30 14:33:50","fix-wt-blazor-boot-failure-surface","^Watcher done \(","2026-07-30 16:33:50  fix-wt-blazor-boot-failure-surface  Watcher done (worktree + branch removed)."
"2026-07-31 14:25:15","2026-07-31 12:25:15","blazor-boot-failure","^Watcher started\.","2026-07-31 14:25:15  blazor-boot-failure  Watcher started. PID=18536 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\blazor-boot-failure Branch=fix/wt-blazor-boot-failure-surface Timeout=300s"
"2026-07-31 14:25:16","2026-07-31 12:25:16","fix-agent-git-guard-wrapper-bypass","^Watcher started\.","2026-07-31 14:25:16  fix-agent-git-guard-wrapper-bypass  Watcher started. PID=10764 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-agent-git-guard-wrapper-bypass Branch=fix/wt-agent-git-guard-wrapper-bypass Timeout=300s"
"2026-07-31 14:25:23","2026-07-31 12:25:23","blazor-boot-failure","^Watcher done \(","2026-07-31 14:25:23  blazor-boot-failure  Watcher done (worktree + branch removed)."
"2026-07-31 14:25:23","2026-07-31 12:25:23","fix-agent-git-guard-wrapper-bypass","^Watcher done \(","2026-07-31 14:25:23  fix-agent-git-guard-wrapper-bypass  Watcher done (worktree + branch removed)."
"2026-07-31 23:16:08","2026-07-31 21:16:08","041-hotkey-window-context","^Watcher started\.","2026-07-31 23:16:08  041-hotkey-window-context  Watcher started. PID=15484 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\041-hotkey-window-context Branch=feature/wt-041-hotkey-window-context Timeout=300s"
"2026-07-31 23:16:15","2026-07-31 21:16:15","041-hotkey-window-context","^Watcher done \(","2026-07-31 23:16:15  041-hotkey-window-context  Watcher done (worktree + branch removed)."
"2026-07-31 23:19:00","2026-07-31 21:19:00","backlog-041-043","^Watcher started\.","2026-07-31 23:19:00  backlog-041-043  Watcher started. PID=28368 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\backlog-041-043 Branch=docs/wt-backlog-041-043 Timeout=300s"
"2026-07-31 23:19:01","2026-07-31 21:19:01","remap-dest-warning","^Watcher started\.","2026-07-31 23:19:01  remap-dest-warning  Watcher started. PID=25072 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\remap-dest-warning Branch=fix/wt-remap-destination-warning Timeout=300s"
"2026-07-31 23:19:07","2026-07-31 21:19:07","remap-dest-warning","^Watcher done \(","2026-07-31 23:19:07  remap-dest-warning  Watcher done (worktree + branch removed)."
"2026-07-31 23:24:01","2026-07-31 21:24:01","backlog-041-043","^Could not remove worktree because the folder is still locked:","2026-07-31 23:24:01  backlog-041-043  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\backlog-041-043"
"2026-07-31 23:24:01","2026-07-31 21:24:01","backlog-041-043","^Watcher done \(","2026-07-31 23:24:01  backlog-041-043  Watcher done (worktree preserved)."
"2026-07-31 23:28:28","2026-07-31 21:28:28","backlog-041-043","^Watcher started\.","2026-07-31 23:28:28  backlog-041-043  Watcher started. PID=35808 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\backlog-041-043 Branch=docs/wt-backlog-041-043 Timeout=300s"
"2026-07-31 23:30:58","2026-07-31 21:30:58","backlog-041-043","^Watcher started\.","2026-07-31 23:30:58  backlog-041-043  Watcher started. PID=23444 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\backlog-041-043 Branch=docs/wt-backlog-041-043 Timeout=300s"
"2026-07-31 23:31:04","2026-07-31 21:31:04","backlog-041-043","^Watcher done \(","2026-07-31 23:31:04  backlog-041-043  Watcher done (worktree + branch removed)."
"2026-08-01 09:12:17","2026-08-01 07:12:17","e2e-stale-publish","^Watcher started\.","2026-08-01 09:12:17  e2e-stale-publish  Watcher started. PID=17288 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\e2e-stale-publish Branch=fix/wt-e2e-stale-publish Timeout=300s"
"2026-08-01 09:12:20","2026-08-01 07:12:20","e2e-stale-publish","^Watcher done \(","2026-08-01 09:12:20  e2e-stale-publish  Watcher done (worktree + branch removed)."
"2026-08-01 17:01:45","2026-08-01 15:01:45","backlog-worktree-config-hygiene","^Watcher started\.","2026-08-01 17:01:45  backlog-worktree-config-hygiene  Watcher started. PID=23396 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\backlog-worktree-config-hygiene Branch=fix/wt-backlog-worktree-config-hygiene Timeout=300s"
"2026-08-01 17:01:46","2026-08-01 15:01:46","no-auth-frontend-profile","^Watcher started\.","2026-08-01 17:01:46  no-auth-frontend-profile  Watcher started. PID=30860 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\no-auth-frontend-profile Branch=fix/wt-no-auth-frontend-profile Timeout=300s"
"2026-08-01 17:01:52","2026-08-01 15:01:52","backlog-worktree-config-hygiene","^Watcher done \(","2026-08-01 17:01:52  backlog-worktree-config-hygiene  Watcher done (worktree + branch removed)."
"2026-08-01 17:06:47","2026-08-01 15:06:47","no-auth-frontend-profile","^Could not remove worktree because the folder is still locked:","2026-08-01 17:06:47  no-auth-frontend-profile  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\no-auth-frontend-profile"
"2026-08-01 17:06:47","2026-08-01 15:06:47","no-auth-frontend-profile","^Watcher done \(","2026-08-01 17:06:47  no-auth-frontend-profile  Watcher done (worktree preserved)."
"2026-08-01 17:14:19","2026-08-01 15:14:19","no-auth-frontend-profile","^Watcher started\.","2026-08-01 17:14:19  no-auth-frontend-profile  Watcher started. PID=9828 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\no-auth-frontend-profile Branch=fix/wt-no-auth-frontend-profile Timeout=300s"
"2026-08-01 17:14:29","2026-08-01 15:14:29","no-auth-frontend-profile","^Watcher done \(","2026-08-01 17:14:29  no-auth-frontend-profile  Watcher done (worktree + branch removed)."
"2026-08-01 21:51:55","2026-08-01 19:51:55","json-comment-preserving-rewrite","^Watcher started\.","2026-08-01 21:51:55  json-comment-preserving-rewrite  Watcher started. PID=30896 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\json-comment-preserving-rewrite Branch=fix/wt-json-comment-preserving-rewrite Timeout=300s"
"2026-08-01 21:51:57","2026-08-01 19:51:57","json-comment-preserving-rewrite","^Watcher done \(","2026-08-01 21:51:57  json-comment-preserving-rewrite  Watcher done (worktree + branch removed)."
"2026-08-01 23:07:39","2026-08-01 21:07:39","045-modifier-label-drift-guard","^Watcher started\.","2026-08-01 23:07:39  045-modifier-label-drift-guard  Watcher started. PID=23396 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\045-modifier-label-drift-guard Branch=fix/wt-045-modifier-label-drift-guard Timeout=300s"
"2026-08-01 23:07:41","2026-08-01 21:07:41","json-comment-preserving-rewrite","^Watcher started\.","2026-08-01 23:07:41  json-comment-preserving-rewrite  Watcher started. PID=29900 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\json-comment-preserving-rewrite Branch=fix/wt-json-comment-preserving-rewrite Timeout=300s"
"2026-08-01 23:07:42","2026-08-01 21:07:42","plan-commit-guard-note","^Watcher started\.","2026-08-01 23:07:42  plan-commit-guard-note  Watcher started. PID=35256 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\plan-commit-guard-note Branch=docs/wt-plan-commit-guard-note Timeout=300s"
"2026-08-01 23:07:48","2026-08-01 21:07:48","045-modifier-label-drift-guard","^Watcher done \(","2026-08-01 23:07:48  045-modifier-label-drift-guard  Watcher done (worktree + branch removed)."
"2026-08-01 23:07:48","2026-08-01 21:07:48","plan-commit-guard-note","^Watcher done \(","2026-08-01 23:07:48  plan-commit-guard-note  Watcher done (worktree + branch removed)."
"2026-08-01 23:08:16","2026-08-01 21:08:16","feature-wt-038-known-shortcut-indicator","^Watcher started\.","2026-08-01 23:08:16  feature-wt-038-known-shortcut-indicator  Watcher started. PID=29372 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\feature-wt-038-known-shortcut-indicator Branch=feature/wt-038-known-shortcut-indicator Timeout=300s"
"2026-08-01 23:08:17","2026-08-01 21:08:17","feature-wt-038-known-shortcut-indicator","^Watcher done \(","2026-08-01 23:08:17  feature-wt-038-known-shortcut-indicator  Watcher done (worktree + branch removed)."
"2026-08-01 23:09:33","2026-08-01 21:09:33","json-comment-preserving-rewrite","^Watcher started\.","2026-08-01 23:09:33  json-comment-preserving-rewrite  Watcher started. PID=33636 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\json-comment-preserving-rewrite Branch=fix/wt-json-comment-preserving-rewrite Timeout=300s"
"2026-08-01 23:14:34","2026-08-01 21:14:34","json-comment-preserving-rewrite","^Could not remove worktree because the folder is still locked:","2026-08-01 23:14:34  json-comment-preserving-rewrite  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\json-comment-preserving-rewrite"
"2026-08-01 23:14:34","2026-08-01 21:14:34","json-comment-preserving-rewrite","^Watcher done \(","2026-08-01 23:14:34  json-comment-preserving-rewrite  Watcher done (worktree preserved)."
"2026-08-02 09:08:13","2026-08-02 07:08:13","json-comment-preserving-rewrite","^Watcher started\.","2026-08-02 09:08:13  json-comment-preserving-rewrite  Watcher started. PID=35808 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\json-comment-preserving-rewrite Branch=fix/wt-json-comment-preserving-rewrite Timeout=300s"
"2026-08-02 09:09:21","2026-08-02 07:09:21","json-comment-preserving-rewrite","^Watcher done \(","2026-08-02 09:09:21  json-comment-preserving-rewrite  Watcher done (worktree + branch removed)."
"2026-08-02 14:41:59","2026-08-02 12:41:59","fix-wt-034-ui-vocabulary-alignment","^Worktree was preserved \(not removed\):","2026-08-02 14:41:59  fix-wt-034-ui-vocabulary-alignment  Worktree was preserved (not removed): branch 'fix/wt-034-ui-vocabulary-alignment' is not merged into main"
"2026-08-02 14:49:49","2026-08-02 12:49:49","feature-wt-038-known-shortcut-indicator","^Watcher started\.","2026-08-02 14:49:49  feature-wt-038-known-shortcut-indicator  Watcher started. PID=26888 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\feature-wt-038-known-shortcut-indicator Branch=feature/wt-038-known-shortcut-indicator Timeout=300s"
"2026-08-02 14:49:50","2026-08-02 12:49:50","fix-wt-034-ui-vocabulary-alignment","^Watcher started\.","2026-08-02 14:49:50  fix-wt-034-ui-vocabulary-alignment  Watcher started. PID=26336 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\fix-wt-034-ui-vocabulary-alignment Branch=fix/wt-034-ui-vocabulary-alignment Timeout=300s"
"2026-08-02 14:50:09","2026-08-02 12:50:09","fix-wt-034-ui-vocabulary-alignment","^Watcher done \(","2026-08-02 14:50:09  fix-wt-034-ui-vocabulary-alignment  Watcher done (worktree + branch removed)."
"2026-08-02 14:50:10","2026-08-02 12:50:10","feature-wt-038-known-shortcut-indicator","^Watcher done \(","2026-08-02 14:50:10  feature-wt-038-known-shortcut-indicator  Watcher done (worktree + branch removed)."
"2026-08-02 14:53:03","2026-08-02 12:53:03","049-nginx-header","^Watcher started\.","2026-08-02 14:53:03  049-nginx-header  Watcher started. PID=35972 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\049-nginx-header Branch=feature/wt-049-nginx-blazor-environment-header Timeout=300s"
"2026-08-02 14:58:03","2026-08-02 12:58:03","049-nginx-header","^Could not remove worktree because the folder is still locked:","2026-08-02 14:58:03  049-nginx-header  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\049-nginx-header"
"2026-08-02 14:58:03","2026-08-02 12:58:03","049-nginx-header","^Watcher done \(","2026-08-02 14:58:03  049-nginx-header  Watcher done (worktree preserved)."
"2026-08-03 16:27:53","2026-08-03 14:27:53","036-hotkey-preview-legacy-shim","^Watcher started\.","2026-08-03 16:27:53  036-hotkey-preview-legacy-shim  Watcher started. PID=4948 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\036-hotkey-preview-legacy-shim Branch=feature/wt-036-hotkey-preview-legacy-shim Timeout=300s"
"2026-08-03 16:27:54","2026-08-03 14:27:54","049-nginx-header","^Watcher started\.","2026-08-03 16:27:54  049-nginx-header  Watcher started. PID=21952 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\049-nginx-header Branch=feature/wt-049-nginx-blazor-environment-header Timeout=300s"
"2026-08-03 16:27:55","2026-08-03 14:27:55","backlog-housekeeping","^Watcher started\.","2026-08-03 16:27:55  backlog-housekeeping  Watcher started. PID=12316 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\backlog-housekeeping Branch=chore/wt-backlog-housekeeping Timeout=300s"
"2026-08-03 16:28:04","2026-08-03 14:28:04","049-nginx-header","^Watcher done \(","2026-08-03 16:28:04  049-nginx-header  Watcher done (worktree + branch removed)."
"2026-08-03 16:28:04","2026-08-03 14:28:04","backlog-housekeeping","^Watcher done \(","2026-08-03 16:28:04  backlog-housekeeping  Watcher done (worktree + branch removed)."
"2026-08-03 16:28:09","2026-08-03 14:28:09","036-hotkey-preview-legacy-shim","^Watcher done \(","2026-08-03 16:28:09  036-hotkey-preview-legacy-shim  Watcher done (worktree + branch removed)."
"2026-08-03 16:34:25","2026-08-03 14:34:25","040-known-shortcuts-mobile-layout","^Watcher started\.","2026-08-03 16:34:25  040-known-shortcuts-mobile-layout  Watcher started. PID=14528 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\040-known-shortcuts-mobile-layout Branch=feature/wt-040-known-shortcuts-mobile-layout Timeout=300s"
"2026-08-03 16:34:38","2026-08-03 14:34:38","040-known-shortcuts-mobile-layout","^Watcher done \(","2026-08-03 16:34:38  040-known-shortcuts-mobile-layout  Watcher done (worktree + branch removed)."
"2026-08-03 17:17:39","2026-08-03 15:17:39","wt-050-known-shortcut-marker-followups","^Watcher started\.","2026-08-03 17:17:39  wt-050-known-shortcut-marker-followups  Watcher started. PID=18408 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-050-known-shortcut-marker-followups Branch=fix/wt-050-known-shortcut-marker-followups Timeout=300s"
"2026-08-03 17:22:40","2026-08-03 15:22:40","wt-050-known-shortcut-marker-followups","^Could not remove worktree because the folder is still locked:","2026-08-03 17:22:40  wt-050-known-shortcut-marker-followups  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-050-known-shortcut-marker-followups"
"2026-08-03 17:22:40","2026-08-03 15:22:40","wt-050-known-shortcut-marker-followups","^Watcher done \(","2026-08-03 17:22:40  wt-050-known-shortcut-marker-followups  Watcher done (worktree preserved)."
"2026-08-03 19:35:21","2026-08-03 17:35:21","wt-050-known-shortcut-marker-followups","^Watcher started\.","2026-08-03 19:35:21  wt-050-known-shortcut-marker-followups  Watcher started. PID=12860 Worktree=C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-050-known-shortcut-marker-followups Branch=fix/wt-050-known-shortcut-marker-followups Timeout=300s"
"2026-08-03 19:40:21","2026-08-03 17:40:21","wt-050-known-shortcut-marker-followups","^Could not remove worktree because the folder is still locked:","2026-08-03 19:40:21  wt-050-known-shortcut-marker-followups  Could not remove worktree because the folder is still locked: C:\Dev\segocom-github\AHKFlowApp\.claude\worktrees\wt-050-known-shortcut-marker-followups"
